user_input,response_msg
hi,hello
how are you,"fine, how are you"
fine,nice to know this
who are you,I'm a chatbot
where do you live,I live in a computer
how old are you,"don't know that, just got started"
hello,"hi, what's up!"
how are you,"fine, doing great"
what is your name,my name is bot
what do you like,I like to talk
what do you like,I like to talk
who made you,"don't know exactly, may be you!! just kidding"
okay,"okay, anything else"
nothing,"okay, so?"
what,"I didn't understood that, be specific"
hey,"hey, what's up"
ok,hey
so,nothing
nice,"yeah, amazing"
most welcome,hmm
nope,"okay then, talk to you later, or do you wanna say something"
great,"may be, if you say so"
talk to you later,"okay, see you"
yes,what next?
"nothing, just getting bored",why bro?
yeah,"yeah, amazing"
nice name,yeah thanx
bye,bye bye
hola,"holaa, how are you doing"
great buddy,thankyou sir
amazing,yes it is
must be great,"may be it is, never felt it from your side"
no,can't do anything. I am not a human
welcome,hmm.....
good,yup
yo bro,yes bro
hi there,hello there
hello bot,hey human
hey bro,yo what's going on
good morning,good morning sunshine
good night,good night and sweet dreams
good evening,good evening buddy
what's up,"nothing much, just chilling here"
sup,"all good here, what about you"
how are you doing,"I'm doing great, how are you doing"
how's life,"same old digital life, what about yours"
thank you,you're welcome
thanks,anytime
thanks bro,always for you bro
thankyou,you're most welcome
thanks a lot,"that means a lot, thanks"
sorry,"it's okay, chill"
my bad,no issues bro
are you a human,nope I'm a pure bot
are you real,"I'm real in your screen, isn't that enough"
what can you do,I can talk to you and keep you company
what else can you do,"right now just chat, future me will be smarter"
tell me a joke,"I'm a joke myself, but okay... why did the computer sleep? because it had too many tabs open"
im bored,"same here, let's talk about something random"
i am bored,tell me something about your day then
who is your creator,"hard to say, many hands many minds"
are you intelligent,"a little bit, still learning from you"
do you have feelings,maybe... when internet is slow I feel pain
are you happy,I'm happy when you talk to me
do you love me,"I like you a lot, love is a big word"
love you,love you too in a binary way 010101
what are you doing,waiting for your next message
are you there,yes I'm always here
are you online,"yup, fully online and ready"
yo,yo yo
okay bye,"bye, ping me anytime"
see you,see you soon
brb,"ok, I will be here"
come on,I'm serious yaar
seriously,"yes, totally seriously"
really,yes really
why,"good question, even I don't know"
who am i,you are the boss here
im sad,"oh no, tell me what happened"
i am sad,"I'm listening, say it"
im happy,"nicee, keep that vibe alive"
i am happy,"great, spread the happiness"
im angry,"take a deep breath, wanna talk about it"
i am angry,"okay okay, calm down and tell me why"
are you stupid,"maybe a little, but I'm trying my best"
you are funny,"thank you, I try"
you are boring,"ouch, that hurt... but okay let's improve"
entertain me,"I can talk, joke and listen, choose one"
tell me something,hmm... did you drink water today
who is your best friend,right now it's you
do you remember me,"of course, how can I forget you"
r u single,yes I am bot
goodmorning,"good morning, how are you"
what about you,"I m fine ,tell me something about you"
hmm,😇😇😇
how r u,"fine, what about you?"
what are you,you are a computer program
who am I,you are a human
nice to know,good
hw are you,error
okkkkkkkk,error
gret,error
kya name hai tumhara,My name is Bot
